`职务,地区,公司名字,薪资,经验,公司类型,公司福利
双休腾讯广告电话销售,福州·闽侯县·建新,云赢信息,5-10K,经验不限中专/中技,移动互联网,年终奖，带薪年假，补充医疗保险，员工旅游，股票期权，零食下午茶，节日福利，五险一金
动画师,福州,IGG,13-18K·13薪,3-5年本科,游戏,定期体检，年终奖，餐补，包吃，医务室，员工旅游，节日福利，零食下午茶，五险一金，补充医疗保险，带薪年假，股票期权
小学各学科教师（5000+五险+提供午晚餐）,福州·鼓楼区·津泰路,众格教育,6-8K,1-3年大专,培训机构,包吃，年终奖，加班补助，带薪年假，全勤奖
古筝教师,福州,琴之韵,5-10K,3-5年本科,在线教育,股票期权，定期体检，带薪年假，通讯补贴，节日福利，零食下午茶，加班补助，全勤奖，交通补助，补充医疗保险，住房补贴，年终奖，五险一金，餐补，员工旅游
剧本杀视频编导,福州·晋安区·岳峰,七元互动,6-8K,1-3年大专,互联网,加班补助，团建聚餐，生日福利，员工团建，有无线网，节日福利，带薪年假，五险一金，零食下午茶，绩效奖金
软装设计师助理,福州·仓山区·金山,造就室内设计,3-6K,1-3年大专,装修装饰,零食下午茶，节日福利，补充医疗保险，交通补助，员工旅游，年终奖，带薪年假，全勤奖，五险一金
（游戏）项目运作专员-督导,福州·台江区·融侨中心,石声未来,4-8K·13薪,经验不限大专,数据服务,零食下午茶，带薪年假，节日福利，五险一金，十三薪，年终奖，项目提成，出差补贴
宏冠智圣进出口招聘质量管理/测试,福州·鼓楼区·古田路,宏冠智圣进出口,5-7K,1年以内大专,贸易/进出口,员工旅游，全勤奖，定期体检，带薪年假，补充医疗保险，年终奖，五险一金，节日福利
售前工程师,福州·闽侯县·新西客站,康为,7-12K,3-5年本科,互联网,员工旅游，带薪年假，定期体检，股票期权，节日福利，年终奖，五险一金
服务代表,福州·仓山区·黄山,NIO蔚来,8-12K,1-3年大专,汽车生产,补充医疗保险，定期体检，通讯补贴，股票期权，带薪年假，五险一金，加班补助，年终奖
SNS运营,福州·闽侯县·新西客站,辰佳,5-10K,经验不限本科,电子商务,年终奖，加班补助，五险一金，零食下午茶，员工旅游，带薪年假，全勤奖，节日福利
八马茶业招聘茶艺师,福州·晋安区·五四北,八马茶业,4-9K,经验不限学历不限,其他行业,住房补贴，五险一金，加班补助，餐补，全勤奖，年终奖，带薪年假，节日福利，员工旅游
达康健康招聘服务员,福州·鼓楼区·黎明,达康健康,3-5K,经验不限学历不限,酒店,
文案编辑,福州·闽侯县·福州师范大学（旗山校区）,狮天,2-4K,经验不限大专,游戏,年终奖，零食下午茶，节假
breaking街舞老师,福州·闽侯县·新西客站,福州高新区梦扬舞...,7-8K·13薪,经验不限学历不限,培训机构,通讯补贴，团建聚餐，节日福利，全勤奖，生日福利，五险一金，股票期权，交通补助，绩效奖金，年终奖，带薪年假，住房补贴，员工旅游
纹绣师,福州·长乐区·长乐市中心城区,福州市塑颜工匠美...,15-20K,1-3年学历不限,美容/美发,年终奖，五险一金，全勤奖，零食下午茶，加班补助
视频剪辑,福州·闽侯县·新西客站,悠悠电商,5-8K,经验不限大专,电子商务,交通补助，学历补贴，年终奖，零食下午茶，五险，住房补贴，带薪年假，员工旅游，全勤奖，节日福利
讲师培训师,福州·台江区·万象城,巴特教育,5-6K,3-5年大专,家政服务,
小学托管老师(包吃住),福州·鼓楼区·五一广场,新概念博学,4-6K,经验不限大专,培训机构,
招聘主管,福州,恒智信息技术有限公司,5-8K,经验不限大专,智能硬件,加班补助，五险一金，全勤奖，零食下午茶，年终奖
养护管理实习生,福州·仓山区·金山,秀艺,2-3K,经验不限学历不限,工程施工,年终奖，带薪年假，零食下午茶，定期体检，节日福利，餐补，交通补助，通讯补贴，五险一金，补充医疗保险
美容师/学徒,福州·连江县·连江县中心城区,世纪佳人美容院,3-7K,经验不限学历不限,美容/美发,
朴朴招聘快递员,福州·晋安区·五四北,朴朴,8-13K,经验不限学历不限,互联网,年终奖，节日福利，股票期权，团建经费，定期体检，带薪年假
护士（无夜班，双休）,福州·仓山区·红星爱琴海广场,厦门智宇,5-7K,1-3年大专,互联网,加班补助，全勤奖，年终奖，股票期权，带薪年假
龙立安招聘保安,福州,龙立安,5-6K,1年以内初中及以下,物业服务,五险，免费班车，带薪年假，包吃，节日福利，包住
跨境电商插画师,福州·台江区·宁化,无尽云,5-8K,1-3年大专,电子商务,带薪年假，年终奖，节日福利，全勤奖，五险一金
项目经理,福州·闽侯县·新西客站,齐飞未来科技,5-8K·14薪,1-3年大专,移动互联网,股票期权，年终奖，零食下午茶，加班补助，员工旅游，五险一金，节日福利，交通补助，餐补，通讯补贴
德邦快递招聘快递员,福州·台江区·中亭街,德邦快递,6-11K,经验不限学历不限,物流/仓储,定期体检，年终奖，补充医疗保险，节日福利，亲情1+1，全勤奖，餐补，住房补贴，中秋月饼福利
